sep=,
DeviceTag:,ydb
FirmwareVersion:,1.6.0
AppVersion:,2021.0
StartTime: ,2021-08-30_17:05:05_000 GMT+8
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,677854107,-178.58291625976562,-0.33292537927628,-177.48234558105469,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,677862440,-178.58546447753906,-0.32573312520981,-177.48121643066406,0.06338134407997,-0.25707316398621,-9.66711711883545,0.17503486573696,-0.19623064994812,-0.33721140027046
2,677870773,-178.60554504394531,-0.27230265736580,-177.49581909179688,0.05790217220783,-0.25246647000313,-9.65613746643066,0.09214720875025,-0.24897037446499,-0.39138552546501
3,677879106,-178.60939025878906,-0.26481360197067,-177.49345397949219,0.05110704153776,-0.26733723282814,-9.64779758453369,0.02032489143312,-0.23575340211391,-0.48495426774025
4,677887439,-178.59802246093750,-0.27288284897804,-177.48789978027344,0.06236574426293,-0.24859717488289,-9.65150260925293,0.09199352562428,-0.11608371138573,-0.46169656515121
5,677895772,-178.60101318359375,-0.26595398783684,-177.48562622070312,0.05450451001525,-0.23523536324501,-9.64889907836914,0.12367833405733,-0.16795252263546,-0.47616863250732
6,677904105,-178.58705139160156,-0.27088811993599,-177.49014282226562,0.04710867255926,-0.23087969422340,-9.66010761260986,0.04409490898252,-0.20353071391582,-0.47122511267662
7,677912438,-178.59008789062500,-0.26393744349480,-177.48866271972656,0.04840328916907,-0.24046427011490,-9.63834857940674,0.11432915180922,-0.16982237994671,-0.38183143734932
8,677920771,-178.58665466308594,-0.26218050718307,-177.48106384277344,0.04516997188330,-0.26132872700691,-9.67647361755371,0.11819686740637,-0.21626096963882,-0.36869129538536
9,677929104,-178.58998107910156,-0.25518697500229,-177.47885131835938,0.07243683934212,-0.23927690088749,-9.67258167266846,0.08170940726995,-0.17536786198616,-0.46647363901138
10,677937437,-178.58702087402344,-0.25034189224243,-177.47616577148438,0.06070626899600,-0.25887602567673,-9.64438629150391,0.07946816831827,-0.27532744407654,-0.43006300926208
11,677945770,-178.58927917480469,-0.24280604720116,-177.47450256347656,0.04002753272653,-0.24676614999771,-9.65575122833252,0.20856392383575,-0.23903204500675,-0.40004312992096
12,677954103,-178.58612060546875,-0.24164643883705,-177.48237609863281,0.03816733136773,-0.24748089909554,-9.67615890502930,0.20337702333927,-0.28935119509697,-0.43235546350479
13,677962436,-178.59005737304688,-0.23526002466679,-177.48057556152344,0.05175082013011,-0.25342524051666,-9.66853332519531,0.00712075736374,-0.10200869292021,-0.41852375864983
14,677970769,-178.58842468261719,-0.23087754845619,-177.48396301269531,0.04712994769216,-0.24690154194832,-9.65766143798828,0.11722355335951,-0.25642412900925,-0.42955076694489
15,677979102,-178.59056091308594,-0.22349733114243,-177.48123168945312,0.04361088201404,-0.25776699185371,-9.65933513641357,0.22700613737106,-0.22479051351547,-0.52839595079422
16,677987435,-178.58767700195312,-0.21914857625961,-177.47380065917969,0.04353935644031,-0.24415513873100,-9.65864086151123,0.24669069051743,-0.26801458001137,-0.39237165451050
17,677995768,-178.58985900878906,-0.21229967474937,-177.47218322753906,0.04743765294552,-0.22929152846336,-9.67585849761963,0.22053855657578,-0.15771964192390,-0.39590635895729
18,678004101,-178.58714294433594,-0.20745159685612,-177.46640014648438,0.06220827624202,-0.25974833965302,-9.66979217529297,0.27236893773079,-0.24873982369900,-0.42873105406761
19,678012434,-178.58984375000000,-0.20037917792797,-177.46466064453125,0.06120687723160,-0.25700879096985,-9.65436363220215,0.15523506700993,-0.18219403922558,-0.41016072034836
20,678020767,-178.58862304687500,-0.19703179597855,-177.45915222167969,0.04303901270032,-0.24629409611225,-9.67014312744141,0.18955813348293,-0.15335242450237,-0.35104307532310
21,678029100,-178.59233093261719,-0.19014951586723,-177.45697021484375,0.04739470034838,-0.25601437687874,-9.66042900085449,0.03664115816355,-0.16308583319187,-0.46525695919991
22,678037433,-178.59191894531250,-0.18712526559830,-177.45631408691406,0.06299523264170,-0.26544928550720,-9.67047214508057,0.11945197731256,-0.14197969436646,-0.48382729291916
23,678045766,-178.59526062011719,-0.18013179302216,-177.45384216308594,0.05200106650591,-0.24704468250275,-9.67250347137451,0.08051835000515,-0.17586733400822,-0.49594283103943
24,678054099,-178.59452819824219,-0.17821314930916,-177.45162963867188,0.04442630708218,-0.26279544830322,-9.65075206756592,0.09798724949360,-0.06792894750834,-0.49996423721313
