sep=,
DeviceTag:,yao
FirmwareVersion:,1.6.0
AppVersion:,2021.0
StartTime: ,2021-08-30_17:05:05_000 GMT+8
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,677788567,26.65933227539062,70.26589965820312,89.59244537353516,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,677796900,26.67735671997070,70.19101715087891,89.51596069335938,-9.36349201202393,1.86779558658600,2.52142357826233,10.47605705261230,-8.73176574707031,0.09601496905088
2,677805233,26.67110443115234,70.12725830078125,89.45781707763672,-9.23003959655762,1.85130560398102,2.71516013145447,5.49366474151611,-7.20027685165405,0.15386471152306
3,677813566,28.45786285400391,70.07566833496094,91.02130126953125,-9.15261650085449,1.98891198635101,3.31889677047729,2.04492521286011,-6.18122673034668,0.03666677698493
4,677821899,28.40954971313477,70.01468658447266,90.97063446044922,-9.08104038238525,2.19802427291870,3.29902172088623,-0.40683087706566,-6.72768068313599,0.49610930681229
5,677830232,29.74442481994629,69.72129058837891,91.99034118652344,-9.02157402038574,2.31839060783386,3.18092513084412,-1.40578615665436,-5.87403583526611,1.09476530551910
6,677838565,29.72187995910645,69.66001892089844,91.96766662597656,-9.05829524993896,2.29118752479553,2.83082771301270,-0.47447815537453,-6.15773916244507,1.66160833835602
7,677846898,30.92384910583496,69.13919067382812,92.87647247314453,-9.05958366394043,2.21768784523010,2.34517264366150,-0.97749036550522,-4.39353275299072,2.81289100646973
8,677855231,30.96242523193359,69.10814666748047,92.95867156982422,-8.97009086608887,2.18839859962463,2.54903173446655,-4.90863561630249,-0.68958646059036,3.76382017135620
9,677863564,32.16244888305664,68.86931610107422,93.89627075195312,-9.14726924896240,2.01726341247559,2.96388292312622,-5.95349121093750,-1.74412441253662,4.27187824249268
10,677871897,32.15399932861328,68.79528808593750,93.93877410888672,-9.27337360382080,1.85470211505890,2.95608115196228,-6.09095001220703,-5.84033966064453,5.11759567260742
11,677880230,32.97934722900391,68.62749481201172,94.54705810546875,-9.22395896911621,1.75565612316132,2.76087212562561,-7.24378347396851,-6.29152297973633,5.57149410247803
12,677888563,32.96077346801758,68.55248260498047,94.58250427246094,-9.30311012268066,1.74275016784668,2.93518900871277,-6.51362371444702,-6.00835752487183,5.03318500518799
13,677896896,33.38120651245117,68.49185180664062,94.82402038574219,-9.26794719696045,1.89733958244324,3.19776582717896,-7.42313432693481,-4.93683624267578,4.23814439773560
14,677905229,33.35311889648438,68.43169403076172,94.85493469238281,-9.24072360992432,1.99314117431641,2.99584913253784,-7.14509201049805,-4.58095264434814,3.93904733657837
15,677913562,33.53391647338867,68.40364837646484,94.89507293701172,-9.27235412597656,1.88113498687744,2.54310679435730,-7.18041229248047,-2.99555897712708,3.38828897476196
16,677921895,33.48710250854492,68.36449432373047,94.93686676025391,-9.26498603820801,1.81885492801666,2.73199510574341,-10.60471725463867,-2.19651031494141,2.96469426155090
