sep=,
DeviceTag:,bei
FirmwareVersion:,1.6.0
AppVersion:,2021.0
StartTime: ,2021-08-30_17:05:05_000 GMT+8
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,2974023062,-179.98799133300781,-0.25218504667282,-136.18397521972656,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,2974031395,-179.99078369140625,-0.24755834043026,-136.18243408203125,0.06049161031842,0.01594381593168,-9.65323448181152,0.02204104885459,0.24006941914558,0.04952512308955
2,2974039728,-179.99169921875000,-0.24237281084061,-136.18182373046875,0.05363916978240,0.01804662309587,-9.63489341735840,0.24772804975510,0.17401030659676,0.16130565106869
3,2974048061,-179.99977111816406,-0.26641678810120,-136.16616821289062,0.04653620347381,0.02678005956113,-9.65200328826904,0.20587441325188,0.19898419082165,0.17383101582527
4,2974056394,179.99850463867188,-0.26148015260696,-136.16581726074219,0.05190818011761,-0.01355463732034,-9.65191745758057,0.14732027053833,0.20379963517189,0.19214516878128
5,2974064727,179.97691345214844,-0.27151873707771,-136.13684082031250,0.04624301940203,-0.00052236521151,-9.64390468597412,0.10618381202221,0.20946039259434,0.09268511086702
6,2974073060,179.97520446777344,-0.26682209968567,-136.13632202148438,0.05682933703065,0.00814708787948,-9.65461444854736,0.15121363103390,0.23146302998066,0.17290888726711
7,2974081393,179.97035217285156,-0.26993614435196,-136.12271118164062,0.03159410879016,-0.00655915681273,-9.66386318206787,0.11220315843821,0.24514104425907,0.08999562263489
8,2974089726,179.96913146972656,-0.26512721180916,-136.12222290039062,0.05727996677160,0.01619403623044,-9.66573715209961,0.20940920710564,0.21970610320568,0.17749384045601
9,2974098059,179.96519470214844,-0.26185646653175,-136.12539672851562,0.05994797497988,0.03354683518410,-9.65424251556396,-0.04413332790136,0.10551784187555,0.22644262015820
10,2974106392,179.96237182617188,-0.25765269994736,-136.12446594238281,0.04597132280469,0.01303248014301,-9.66379165649414,0.01663644425571,0.29068315029144,0.12306360155344
11,2974114725,179.95538330078125,-0.25812825560570,-136.12237548828125,0.06654290109873,-0.00547192478552,-9.63837051391602,0.22367630898952,0.26937207579613,0.14253038167953
12,2974123058,179.95359802246094,-0.25353759527206,-136.12147521972656,0.06435412913561,-0.00754624931142,-9.64446449279785,0.14434902369976,0.24706208705902,0.12652149796486
13,2974131391,179.94834899902344,-0.25353935360909,-136.12879943847656,0.04395421966910,0.01047891471535,-9.63058090209961,0.09137878566980,0.17582890391350,0.21929626166821
14,2974139724,179.94706726074219,-0.24876424670219,-136.12861633300781,0.03223809599876,-0.00560757657513,-9.65115928649902,0.20408141613007,0.22382999956608,0.21004955470562
15,2974148057,179.94435119628906,-0.24865894019604,-136.13137817382812,0.03436940908432,-0.00492115598172,-9.65769672393799,0.10728521645069,0.21378923952579,0.20062348246574
16,2974156390,179.94198608398438,-0.24370892345905,-136.13037109375000,0.06208676472306,0.00602293945849,-9.61967945098877,0.07168143987656,0.20321054756641,0.11320211738348
17,2974164723,179.94068908691406,-0.24089445173740,-136.13716125488281,0.05113567411900,0.00470657087862,-9.63274097442627,0.05971959233284,0.23389641940594,0.06489367038012
18,2974173056,179.93821716308594,-0.23593565821648,-136.13697814941406,0.05415431410074,0.02167357131839,-9.65306186676025,0.06005256995559,0.20064912736416,0.21127900481224
19,2974181389,179.93739318847656,-0.23407375812531,-136.14364624023438,0.04924732446671,0.02165880799294,-9.62729740142822,0.10961611568928,0.23645779490471,0.16087019443512
20,2974189722,179.93440246582031,-0.22932155430317,-136.14323425292969,0.04177260026336,0.03063607402146,-9.66453647613525,-0.00327862193808,0.22626332938671,0.18328264355659
21,2974198055,179.93244934082031,-0.22713755071163,-136.14492797851562,0.04841759428382,0.01456318795681,-9.65541553497314,0.12319166958332,0.18156650662422,0.11627582460642
22,2974206388,179.93103027343750,-0.22161744534969,-136.14413452148438,0.04989108070731,0.00550053641200,-9.65281200408936,0.18866164982319,0.13348859548569,0.13879074156284
23,2974214721,179.92889404296875,-0.21941043436527,-136.14587402343750,0.05089229717851,0.01953420788050,-9.63146781921387,0.20031611621380,0.23248758912086,0.16717128455639
24,2974223054,179.92758178710938,-0.21448047459126,-136.14508056640625,0.03677276521921,0.01503527630121,-9.64945697784424,0.19836944341660,0.20502912998199,0.13669036328793
25,2974231387,179.92475891113281,-0.21106365323067,-136.14456176757812,0.05830262228847,-0.01215284876525,-9.63523101806641,0.09283879399300,0.07618953287601,0.20689897239208
26,2974239720,179.92282104492188,-0.20658729970455,-136.14422607421875,0.04614299163222,-0.00653769867495,-9.66138744354248,0.12316603958607,0.25933131575584,0.19027534127235
27,2974248053,179.92120361328125,-0.20442396402359,-136.14308166503906,0.04268816858530,-0.01208115182817,-9.64066600799561,0.15231505036354,0.23412691056728,0.13794545829296
28,2974256386,179.91925048828125,-0.19946481287479,-136.14265441894531,0.03877532109618,0.01846825145185,-9.64445590972900,0.12124496698380,0.20136629045010,0.18031139671803
29,2974264719,179.91828918457031,-0.19669887423515,-136.14617919921875,0.06820235401392,0.01796794123948,-9.64614486694336,0.12337096035480,0.18699672818184,0.06404839456081
30,2974273052,179.91587829589844,-0.19140717387199,-136.14561462402344,0.03176589682698,0.00914162024856,-9.63814830780029,0.06650736182928,0.16125440597534,0.16550637781620
31,2974281385,179.91532897949219,-0.18961615860462,-136.14080810546875,0.05044184997678,-0.00261794053949,-9.64910602569580,0.19842067360878,0.26547876000404,0.17029625177383
32,2974289718,179.91310119628906,-0.18393708765507,-136.14047241210938,0.04240902140737,0.00276076095179,-9.63623809814453,0.09035421907902,0.11499510705471,0.19155605137348
33,2974298051,179.91171264648438,-0.18122629821301,-136.14480590820312,0.06076323613524,-0.00776117295027,-9.62604618072510,0.08899665623903,0.18817496299744,0.16773481667042
34,2974306384,179.90943908691406,-0.17570646107197,-136.14379882812500,0.04627889394760,0.02357576973736,-9.65473556518555,0.08364327996969,0.13364227116108,0.11166524887085
35,2974314717,179.90884399414062,-0.17355790734291,-136.14179992675781,0.04692997783422,0.02876902930439,-9.63174819946289,0.13074786961079,0.23084828257561,0.11922144889832
36,2974323050,179.90785217285156,-0.16895553469658,-136.14125061035156,0.03804597258568,0.00385538232513,-9.64876270294189,0.23766168951988,0.24416768550873,0.16632604598999
37,2974331383,179.90643310546875,-0.16686435043812,-136.13577270507812,0.04880367591977,0.00650150328875,-9.64848995208740,0.09025175124407,0.23889115452766,0.16806781291962
38,2974339716,179.90492248535156,-0.16176983714104,-136.13471984863281,0.06138569861650,-0.00363364419900,-9.64963531494141,0.17608506977558,0.18530617654324,0.10492870956659
39,2974348049,179.90359497070312,-0.15941178798676,-136.13499450683594,0.06034853681922,0.00972786638886,-9.63874912261963,0.09788479655981,0.21558219194412,0.09670654684305
40,2974356382,179.90167236328125,-0.15457190573215,-136.13452148437500,0.05927535891533,0.01077177375555,-9.66102218627930,0.12787905335426,0.21481376886368,0.17690470814705
41,2974364715,179.90019226074219,-0.15260721743107,-136.13313293457031,0.04549923539162,0.02175894752145,-9.63967895507812,0.05692763254046,0.22009031474590,0.16348282992840
42,2974373048,179.89707946777344,-0.14766524732113,-136.13319396972656,0.06554149836302,0.02323958650231,-9.64728927612305,-0.01723838038743,0.20310808718204,0.24147818982601
43,2974381381,179.89607238769531,-0.14610697329044,-136.13369750976562,0.05660760030150,0.02746691741049,-9.63640308380127,0.13297629356384,0.25495126843452,0.17951735854149
44,2974389714,179.89422607421875,-0.14170612394810,-136.13323974609375,0.06180056184530,0.01497090049088,-9.64970684051514,0.13520474731922,0.26829633116722,0.17882579565048
45,2974398047,179.89300537109375,-0.14010120928288,-136.12808227539062,0.04245927557349,0.01860454492271,-9.63924980163574,0.13927739858627,0.21775944530964,0.14232549071312
46,2974406380,179.89154052734375,-0.13568268716335,-136.12783813476562,0.03855382278562,0.02446987666190,-9.64362716674805,0.18046508729458,0.26601663231850,0.20310808718204
47,2974414713,179.88909912109375,-0.13406768441200,-136.14468383789062,0.05082095041871,0.00521442247555,-9.64311981201172,0.01958208158612,0.21537728607655,0.21217550337315
48,2974423046,179.88610839843750,-0.13024428486824,-136.14404296875000,0.05660760402679,-0.00376210757531,-9.64394378662109,-0.00233089528047,0.33681434392929,0.15876981616020
