sep=,
DeviceTag:,yxb
FirmwareVersion:,1.6.0
AppVersion:,2021.0
StartTime: ,2021-08-30_17:05:05_000 GMT+8
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,677851206,134.85983276367188,63.75484466552734,125.67797088623047,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,677859539,134.82569885253906,63.76488494873047,125.68563079833984,-8.41951370239258,2.91324996948242,-2.54766297340393,-4.23596715927124,0.86051028966904,-0.84500074386597
2,677867872,133.79122924804688,64.06536865234375,124.92017364501953,-8.47628593444824,2.92203807830811,-2.35183286666870,-5.21202278137207,1.62332761287689,-0.28709712624550
3,677876205,133.76034545898438,64.06568145751953,124.92076110839844,-8.58409309387207,2.95782041549683,-2.32103586196899,-3.08437681198120,1.41984844207764,0.24692127108574
4,677884538,132.77445983886719,64.44737243652344,124.27174377441406,-8.62238121032715,3.02649378776550,-2.60614824295044,-1.54782962799072,1.25204920768738,0.53520935773849
5,677892871,132.74470520019531,64.44861602783203,124.26203155517578,-8.55307102203369,3.12286162376404,-2.83614134788513,-1.83552908897400,0.95343869924545,0.52839612960815
6,677901204,131.99349975585938,64.75605010986328,123.83619689941406,-8.56077098846436,3.20540452003479,-2.89770627021790,-1.85622513294220,0.67485827207565,0.38943883776665
7,677909537,131.96249389648438,64.75948333740234,123.82357025146484,-8.64512729644775,3.23496007919312,-2.87766599655151,-1.66196691989899,0.66830098628998,0.42634892463684
8,677917870,131.61203002929688,64.81220245361328,123.71810150146484,-8.73898792266846,3.12757372856140,-2.83882594108582,-2.97659206390381,0.75769472122192,0.86276429891586
9,677926203,131.53971862792969,64.80972290039062,123.69016265869141,-8.82262134552002,2.97046375274658,-2.88670206069946,-4.95557308197021,0.55644363164902,1.47374057769775
10,677934536,131.30632019042969,64.78699493408203,123.69190216064453,-8.85022068023682,2.97390246391296,-2.94576835632324,-6.14466333389282,-0.30633342266083,1.66144168376923
11,677942869,131.20309448242188,64.79085540771484,123.63057708740234,-8.81379032135010,3.07011914253235,-2.96738982200623,-5.03718042373657,-1.23825621604919,2.02334547042847
12,677951202,131.16157531738281,64.78163146972656,123.78019714355469,-8.75832939147949,3.10250711441040,-3.07482266426086,-3.33688163757324,-1.01315820217133,2.30945634841919
13,677959535,131.08354187011719,64.77655792236328,123.73624420166016,-8.72043991088867,3.11467552185059,-3.29675650596619,-3.89924240112305,0.13150349259377,2.24096393585205
14,677967868,131.13409423828125,64.73402404785156,123.97159576416016,-8.69806575775146,3.12306571006775,-3.28892445564270,-5.16704463958740,1.18453037738800,2.12103796005249
15,677976201,131.06666564941406,64.71902465820312,123.95932769775391,-8.68416595458984,3.11805582046509,-3.14880251884460,-6.07033109664917,2.13164258003235,2.07377982139587
16,677984534,131.21578979492188,64.63331604003906,124.28166961669922,-8.71731567382812,3.05957698822021,-3.07318329811096,-6.22852325439453,2.49769520759583,1.84148406982422
17,677992867,131.14535522460938,64.62353515625000,124.26312255859375,-8.79406929016113,3.41153693199158,-2.95873236656189,-5.74661827087402,1.47781348228455,1.81551146507263
18,678001200,131.29374694824219,64.55865478515625,124.54032135009766,-8.72598457336426,3.06404113769531,-2.79984211921692,-2.79314255714417,-0.60896563529968,1.05148994922638
19,678009533,131.22029113769531,64.55963134765625,124.51317596435547,-8.84892845153809,2.97970533370972,-2.98311400413513,-5.18062019348145,0.29505038261414,1.14070439338684
20,678017866,131.29882812500000,64.50372314453125,124.73886871337891,-8.65154838562012,3.29330730438232,-3.10770797729492,-4.43906259536743,-0.26360890269279,0.68584686517715
