sep=,
DeviceTag:,ydt
FirmwareVersion:,1.6.0
AppVersion:,2021.0
StartTime: ,2021-08-30_17:05:05_000 GMT+8
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,2973970240,-139.38354492187500,78.24951171875000,-70.14126586914062,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,2973978573,-139.29133605957031,78.26021575927734,-70.10064697265625,-9.56491851806641,-0.83296597003937,-1.51974713802338,5.61168241500854,-0.80638742446899,-0.09997236728668
2,2973986906,-140.88825988769531,78.37374877929688,-71.75379180908203,-9.59061813354492,-0.74575906991959,-1.45170676708221,3.87790536880493,-0.67155402898788,-0.33552086353302
3,2973995239,-140.80781555175781,78.38230895996094,-71.69510650634766,-9.63629627227783,-0.79981899261475,-1.34676992893219,2.07005286216736,-0.88169318437576,-0.63454139232635
4,2974003572,-143.31182861328125,78.80949401855469,-74.52553558349609,-9.67052078247070,-0.82955801486969,-1.46951580047607,0.03584712371230,-0.22619932889938,-1.27197742462158
5,2974011905,-143.23886108398438,78.80160522460938,-74.45997619628906,-9.57220935821533,-0.76150101423264,-1.57234668731689,0.35497492551804,0.65545552968979,-1.97439658641815
6,2974020238,-144.95970153808594,79.13015747070312,-76.56197357177734,-9.51877117156982,-0.71135765314102,-1.62136352062225,0.96277505159378,1.32278311252594,-2.44131827354431
7,2974028571,-144.88354492187500,79.11042022705078,-76.49797821044922,-9.50671863555908,-0.65235334634781,-1.54639303684235,0.91146975755692,1.91885197162628,-2.73308968544006
8,2974036904,-146.34031677246094,79.27209472656250,-78.28010559082031,-9.53235626220703,-0.72630941867828,-1.52747094631195,0.10948805510998,1.94794988632202,-2.67379331588745
9,2974045237,-146.27803039550781,79.25276184082031,-78.20623016357422,-9.55054664611816,-0.97970956563950,-1.71142089366913,-1.92078578472137,1.82185077667236,-2.84528017044067
10,2974053570,-147.43362426757812,79.35741424560547,-79.56830596923828,-9.66503906250000,-1.12735474109650,-1.95782852172852,-4.38935756683350,1.59593331813812,-2.97383832931519
11,2974061903,-147.33824157714844,79.34414672851562,-79.45323181152344,-9.75029659271240,-1.17967712879181,-1.87177383899689,-2.80555295944214,0.78122138977051,-3.19350600242615
12,2974070236,-147.97994995117188,79.32498931884766,-80.27413177490234,-9.67107009887695,-1.28564286231995,-1.80847990512848,-1.54231011867523,-0.17686630785465,-3.01576900482178
