sep=,
DeviceTag:,zxt
FirmwareVersion:,2.0.0
AppVersion:,2021.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Quaternion)
StartTime: ,2021-08-20_20:21:13_804 GMT+8
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
64,3344477906,0.483311,-0.706371,-0.215489,-0.470122,0.050270,0.014375,0.082421,0
65,3344494573,0.483297,-0.706371,-0.215536,-0.470114,0.047599,0.028457,0.085556,0
66,3344511240,0.483305,-0.706363,-0.215589,-0.470096,0.029346,0.041134,0.099801,0
67,3344527907,0.483322,-0.706348,-0.215654,-0.470070,-0.005889,0.077640,0.106836,0
68,3344544574,0.483337,-0.706342,-0.215698,-0.470043,-0.011173,0.064386,0.121864,0
69,3344561241,0.483350,-0.706335,-0.215722,-0.470030,-0.004505,0.044674,0.113953,0
70,3344577908,0.483368,-0.706322,-0.215763,-0.470011,0.015325,0.009158,0.112902,0
71,3344594575,0.483373,-0.706316,-0.215827,-0.469986,0.021522,0.036120,0.108196,0
72,3344611242,0.483381,-0.706298,-0.215886,-0.469978,0.025322,0.017851,0.103444,0
73,3344627909,0.483390,-0.706280,-0.215935,-0.469973,0.032423,0.037930,0.107386,0
74,3344644576,0.483398,-0.706257,-0.215989,-0.469974,0.030107,0.051559,0.111980,0
75,3344661243,0.483401,-0.706243,-0.216024,-0.469976,0.017453,0.048903,0.107647,0
76,3344677910,0.483403,-0.706226,-0.216070,-0.469979,0.040907,0.060673,0.109194,0
77,3344694577,0.483421,-0.706202,-0.216113,-0.469976,0.021134,0.030247,0.110393,0
78,3344711244,0.483421,-0.706170,-0.216148,-0.470008,0.047602,0.036870,0.112325,0
79,3344727911,0.483403,-0.706144,-0.216163,-0.470059,0.058306,0.022028,0.097296,0
80,3344744578,0.483368,-0.706130,-0.216151,-0.470122,0.046185,0.030495,0.096359,0
81,3344761245,0.483318,-0.706124,-0.216111,-0.470201,0.037918,0.019772,0.108055,0
82,3344777912,0.483243,-0.706120,-0.216061,-0.470307,0.054143,0.037494,0.112986,0
83,3344794579,0.483154,-0.706128,-0.216002,-0.470412,0.046114,0.060367,0.122890,0
84,3344811246,0.483046,-0.706126,-0.215956,-0.470547,0.046327,0.062454,0.102804,0
85,3344827913,0.482967,-0.706099,-0.215953,-0.470672,0.041438,0.101179,0.114935,0
86,3344844580,0.482899,-0.706045,-0.215967,-0.470815,0.019662,0.089432,0.125586,0
87,3344861247,0.482836,-0.705991,-0.215994,-0.470949,0.043577,0.063159,0.117705,0
88,3344877914,0.482805,-0.705919,-0.216020,-0.471076,0.022375,0.069733,0.118048,0
89,3344894581,0.482760,-0.705856,-0.216056,-0.471200,0.034898,0.048446,0.111612,0
90,3344911248,0.482676,-0.705811,-0.216080,-0.471343,0.005106,0.058021,0.125466,0
91,3344927915,0.482584,-0.705754,-0.216093,-0.471517,-0.034053,0.111828,0.145505,0
92,3344944582,0.482535,-0.705656,-0.216137,-0.471694,-0.063153,0.134367,0.172705,0
93,3344961249,0.482579,-0.705478,-0.216277,-0.471850,-0.098849,0.164349,0.174741,0
94,3344977916,0.482741,-0.705216,-0.216549,-0.471951,-0.107973,0.198144,0.076959,0
95,3344994583,0.483004,-0.704907,-0.216948,-0.471960,-0.098620,0.165892,0.049106,0
96,3345011250,0.483252,-0.704650,-0.217374,-0.471895,-0.113120,0.100029,0.069571,0
97,3345027917,0.483462,-0.704433,-0.217724,-0.471841,-0.110305,0.068583,0.092954,0
98,3345044584,0.483684,-0.704191,-0.218003,-0.471846,-0.024242,0.045087,0.097986,0
99,3345061251,0.483920,-0.703946,-0.218249,-0.471857,0.021863,0.043809,0.030278,0
100,3345077918,0.484117,-0.703777,-0.218444,-0.471817,0.013549,-0.001130,0.047271,0
101,3345094585,0.484240,-0.703694,-0.218569,-0.471756,-0.045794,-0.012716,0.048877,0
102,3345111252,0.484279,-0.703671,-0.218615,-0.471730,-0.042028,-0.013529,0.062019,0
103,3345127919,0.484292,-0.703652,-0.218626,-0.471738,0.017293,0.033820,0.101486,0
104,3345144586,0.484331,-0.703609,-0.218657,-0.471747,0.108371,0.048920,0.089759,0
105,3345161253,0.484402,-0.703539,-0.218746,-0.471738,0.154419,0.066964,0.097300,0
106,3345177920,0.484467,-0.703462,-0.218840,-0.471743,0.198817,0.045411,0.143765,0
107,3345194587,0.484511,-0.703376,-0.218932,-0.471783,0.216279,0.016681,0.121927,0
108,3345211254,0.484544,-0.703270,-0.219007,-0.471874,0.216010,-0.016885,0.138759,0
109,3345227921,0.484524,-0.703168,-0.219069,-0.472017,0.215109,-0.047252,0.107448,0
110,3345244588,0.484446,-0.703075,-0.219084,-0.472228,0.192231,-0.048826,0.121116,0
111,3345261255,0.484295,-0.703013,-0.219044,-0.472493,0.191523,-0.045783,0.126820,0
112,3345277922,0.484092,-0.702978,-0.218935,-0.472804,0.176354,-0.002854,0.154363,0
113,3345294589,0.483943,-0.702892,-0.218845,-0.473127,0.154686,-0.012306,0.160400,0
114,3345311256,0.483854,-0.702745,-0.218844,-0.473436,0.086590,0.006181,0.173546,0
115,3345327923,0.483749,-0.702631,-0.218822,-0.473722,0.093266,0.068179,0.321036,0
116,3345344590,0.483846,-0.702321,-0.218930,-0.474033,0.145263,0.008426,0.255381,0
117,3345361257,0.484146,-0.701747,-0.219332,-0.474392,0.037439,0.004630,0.176723,0
118,3345377924,0.484391,-0.701105,-0.219890,-0.474833,-0.043519,0.094442,0.241416,0
119,3345394591,0.484675,-0.700324,-0.220558,-0.475385,-0.067474,0.125642,0.327587,0
120,3345411258,0.485190,-0.699193,-0.221406,-0.476129,-0.130656,0.067312,0.195745,0
121,3345427925,0.485909,-0.697833,-0.222670,-0.476802,-0.201529,0.083795,0.190675,0
122,3345444592,0.486792,-0.696127,-0.224060,-0.477743,-0.379191,0.020096,0.260694,0
123,3345461259,0.487734,-0.694152,-0.225564,-0.478947,-0.437328,-0.003298,0.280443,0
124,3345477926,0.488497,-0.692178,-0.227151,-0.480274,-0.350745,0.088932,0.227177,0
125,3345494593,0.489671,-0.689541,-0.228979,-0.482000,-0.299021,0.105972,0.299957,0
126,3345511260,0.490673,-0.686694,-0.230778,-0.484183,-0.579414,-0.012125,0.321085,0
127,3345527927,0.491371,-0.683676,-0.232621,-0.486856,-0.654725,0.192595,0.191774,0
128,3345544594,0.491718,-0.680626,-0.234653,-0.489795,-0.477706,0.316308,0.141656,0
129,3345561261,0.491624,-0.677622,-0.236853,-0.492985,-0.316042,0.379175,0.081861,0
130,3345577928,0.491632,-0.673992,-0.239382,-0.496719,-0.266482,0.303824,0.168924,0
131,3345594595,0.491345,-0.670046,-0.242141,-0.500985,-0.246756,0.329306,0.237321,0
132,3345611262,0.490713,-0.665488,-0.245479,-0.506031,-0.061298,0.337491,0.281509,0
133,3345627929,0.489960,-0.659706,-0.249766,-0.512195,0.436857,0.437291,0.328362,0
134,3345644596,0.488314,-0.652718,-0.254728,-0.520214,1.362588,0.610553,0.462816,0
135,3345661263,0.485177,-0.643912,-0.260843,-0.530981,3.523953,0.395844,1.024406,0
136,3345677930,0.483349,-0.631826,-0.272457,-0.541237,2.483276,-1.686507,1.002043,0
137,3345694597,0.482034,-0.615830,-0.284904,-0.554279,-0.996245,-0.197835,0.287662,0
138,3345711264,0.475512,-0.602072,-0.291585,-0.571293,-3.645883,1.484287,-1.593167,0
139,3345727931,0.465311,-0.592732,-0.295052,-0.587451,-2.899413,2.396631,-3.038986,0
140,3345744598,0.457159,-0.585161,-0.301448,-0.598098,-1.313618,1.824430,-2.378737,0
141,3345761265,0.451817,-0.576522,-0.308922,-0.606672,-2.689250,0.717615,-0.630940,0
142,3345777932,0.447766,-0.566530,-0.315120,-0.615832,-1.434829,0.014981,-0.939515,0
143,3345794599,0.444286,-0.556633,-0.321026,-0.624269,-0.266162,-0.876634,0.035773,0
144,3345811266,0.440235,-0.547028,-0.327565,-0.632183,-1.553326,0.109105,0.507743,0
145,3345827933,0.435027,-0.536592,-0.334872,-0.640845,-2.345412,0.869754,0.533677,0
146,3345844600,0.430081,-0.525077,-0.343674,-0.649009,-1.761727,0.177744,-0.308004,0
147,3345861267,0.425222,-0.513937,-0.354926,-0.655044,-0.512076,-0.109115,-1.500464,0
148,3345877934,0.420407,-0.502799,-0.367454,-0.659870,0.420366,-0.204108,-2.309820,0
149,3345894601,0.416076,-0.490892,-0.380103,-0.664400,0.973833,-1.766844,-2.690175,0
150,3345911268,0.412141,-0.477464,-0.390640,-0.670498,1.222394,-1.368816,-1.389727,0
151,3345927935,0.407827,-0.464110,-0.399086,-0.677502,1.595781,-1.421246,-0.446036,0
152,3345944602,0.402954,-0.451565,-0.405941,-0.684784,1.513000,-0.266577,0.084256,0
153,3345961269,0.398061,-0.440519,-0.413632,-0.690217,0.695315,0.574335,-0.299922,0
154,3345977936,0.393917,-0.429820,-0.422333,-0.694060,0.428880,-0.292061,0.211514,0
155,3345994603,0.390133,-0.419239,-0.430359,-0.697729,0.058589,-0.495097,0.540837,0
156,3346011270,0.386217,-0.409729,-0.437697,-0.700985,0.676147,-0.635373,0.869816,0
157,3346027937,0.382291,-0.401371,-0.443208,-0.704501,1.256840,-1.438165,1.309241,0
158,3346044604,0.378326,-0.394149,-0.446858,-0.708402,1.232330,-1.493163,1.990463,0
159,3346061271,0.374345,-0.388331,-0.448477,-0.712694,1.131700,-0.934734,1.676355,0
160,3346077938,0.370802,-0.383720,-0.449569,-0.716347,1.157012,-0.242079,1.443848,0
161,3346094605,0.368143,-0.379806,-0.451229,-0.718756,1.329372,-0.225766,1.239316,0
162,3346111272,0.366276,-0.376916,-0.453248,-0.719960,1.125556,-0.498783,1.818713,0
163,3346127939,0.364953,-0.375780,-0.454959,-0.720146,1.002060,-0.450145,2.559522,0
164,3346144606,0.364477,-0.375919,-0.455093,-0.720230,0.711875,-0.770366,2.952090,0
165,3346161273,0.364972,-0.377074,-0.454101,-0.720002,0.582013,-0.353685,2.621907,0
166,3346177940,0.366492,-0.379023,-0.452646,-0.719122,0.294272,-0.157561,2.434322,0
167,3346194607,0.368705,-0.382454,-0.451131,-0.717124,0.127968,-0.029586,2.419469,0
168,3346211274,0.371620,-0.387621,-0.449846,-0.713643,0.023257,0.058703,2.384749,0
169,3346227941,0.375511,-0.393771,-0.447860,-0.709477,0.056216,0.090306,2.387224,0
170,3346244608,0.380284,-0.401005,-0.445092,-0.704608,0.066167,0.433017,2.130513,0
171,3346261275,0.385925,-0.409203,-0.441696,-0.698942,0.076833,0.317781,1.878627,0
172,3346277942,0.392472,-0.418589,-0.437456,-0.692374,0.175421,0.249714,1.615585,0
173,3346294609,0.399571,-0.429380,-0.432132,-0.685008,0.009723,-0.181476,1.185340,0
174,3346311276,0.406825,-0.441601,-0.425616,-0.677003,-0.401194,-0.537028,0.619203,0
175,3346327943,0.414367,-0.454749,-0.417427,-0.668773,-1.172671,-0.619619,-0.162602,0
176,3346344610,0.422247,-0.468444,-0.407848,-0.660248,-1.284803,-0.160764,-0.924433,0
177,3346361277,0.430333,-0.482653,-0.398195,-0.650615,-1.335314,-0.217003,-1.573129,0
178,3346377944,0.438140,-0.497171,-0.387392,-0.640923,-1.034919,0.354953,-1.705926,0
179,3346394611,0.445655,-0.511796,-0.376305,-0.630754,-1.019804,-0.024638,-1.751926,0
180,3346411278,0.452842,-0.526324,-0.364913,-0.620286,-0.572877,-0.121141,-1.605932,0
181,3346427945,0.459922,-0.540287,-0.353371,-0.609665,-0.451825,-0.436354,-1.847189,0
182,3346444612,0.466098,-0.554856,-0.341799,-0.598381,-0.199834,0.012584,-2.037450,0
183,3346461279,0.471884,-0.569262,-0.330887,-0.586328,-0.330212,-0.380897,-1.942199,0
184,3346477946,0.477712,-0.582626,-0.321302,-0.573676,-0.256004,-0.205859,-1.935816,0
185,3346494613,0.483601,-0.595074,-0.313625,-0.560051,0.034348,0.218249,-1.938159,0
186,3346511280,0.489553,-0.605916,-0.307110,-0.546705,-0.026868,0.402541,-1.471447,0
187,3346527947,0.494892,-0.615711,-0.300924,-0.534254,1.062024,0.179158,-1.253778,0
188,3346544614,0.499206,-0.624756,-0.294924,-0.522966,1.854047,0.542579,-0.567170,0
189,3346561281,0.503470,-0.632383,-0.290517,-0.512064,1.966838,1.360101,-0.290824,0
190,3346577948,0.507612,-0.638206,-0.286714,-0.502810,1.701207,0.989792,0.414663,0
191,3346594615,0.510807,-0.643215,-0.282876,-0.495311,1.724689,0.704169,1.018799,0
192,3346611282,0.512720,-0.647830,-0.278936,-0.489520,1.248515,0.425458,1.153986,0
193,3346627949,0.513636,-0.651981,-0.274463,-0.485560,0.845025,0.016013,0.977902,0
194,3346644616,0.514086,-0.655483,-0.269518,-0.483133,0.259805,-0.204907,0.678717,0
195,3346661283,0.513779,-0.658914,-0.264314,-0.481665,-0.211049,-0.468418,0.484987,0
196,3346677950,0.512995,-0.662253,-0.259709,-0.480426,-0.571218,-0.424045,0.451908,0
197,3346694617,0.511927,-0.665062,-0.256036,-0.479655,-0.890191,-0.295536,0.553336,0
198,3346711284,0.510380,-0.667438,-0.253297,-0.479456,-1.025972,0.005564,0.532394,0
199,3346727951,0.508317,-0.669521,-0.251583,-0.479647,-0.799228,0.459840,0.481947,0
200,3346744618,0.506814,-0.670533,-0.250952,-0.480154,-0.460607,0.715517,0.534289,0
201,3346761285,0.505834,-0.670639,-0.251455,-0.480777,-0.248235,0.947572,0.377217,0
202,3346777952,0.505448,-0.669927,-0.253011,-0.481358,-0.215331,0.988194,0.226820,0
203,3346794619,0.505451,-0.668637,-0.255434,-0.481869,-0.308413,0.899317,0.153330,0
204,3346811286,0.505742,-0.666778,-0.258184,-0.482673,-0.642672,0.716507,0.381229,0
205,3346827953,0.505616,-0.664936,-0.260668,-0.484009,-0.941491,0.272701,0.371726,0
206,3346844620,0.505313,-0.663130,-0.263319,-0.485367,-1.029010,-0.045868,0.122116,0
207,3346861287,0.505047,-0.661144,-0.265990,-0.486894,-1.173495,-0.312322,0.040592,0
208,3346877954,0.504501,-0.659211,-0.268468,-0.488717,-1.056923,-0.264256,0.032501,0
209,3346894621,0.503971,-0.656920,-0.271174,-0.490850,-0.770348,-0.011988,0.086212,0
210,3346911288,0.503504,-0.653942,-0.274029,-0.493712,-0.696000,-0.118330,0.237383,0
211,3346927955,0.502785,-0.650497,-0.277223,-0.497201,-0.650399,-0.151871,0.279175,0
212,3346944622,0.501846,-0.646235,-0.280725,-0.501721,-0.440511,0.092168,0.306172,0
213,3346961289,0.500900,-0.640548,-0.285077,-0.507474,-0.172646,0.160725,0.482947,0
214,3346977956,0.499653,-0.633420,-0.290401,-0.514580,-0.019804,0.195380,0.539096,0
215,3346994623,0.497513,-0.624708,-0.295793,-0.524144,0.072044,0.080029,0.558298,0
216,3347011290,0.493793,-0.615050,-0.301730,-0.535576,0.158048,0.358755,0.464659,0
217,3347027957,0.487970,-0.604681,-0.307391,-0.549324,-0.418715,0.500591,0.040391,0
218,3347044624,0.478751,-0.594138,-0.310263,-0.567040,-1.647493,0.627572,-0.832137,0
219,3347061291,0.467737,-0.584786,-0.313162,-0.584103,-1.551355,0.622252,-1.772358,0
220,3347077958,0.457139,-0.575439,-0.317754,-0.599105,-0.799546,1.226639,-1.939109,0
221,3347094625,0.447289,-0.565337,-0.321019,-0.614226,-0.614918,-0.056542,-1.262851,0
222,3347111292,0.440549,-0.555172,-0.324706,-0.626312,0.186638,-0.006188,-0.173714,0
223,3347127959,0.433574,-0.544321,-0.327756,-0.638987,-0.677677,-0.112493,-1.015890,0
224,3347144626,0.425944,-0.531532,-0.331447,-0.652831,-2.603114,1.020164,-1.260180,0
225,3347161293,0.419906,-0.519000,-0.340856,-0.661917,-3.811952,4.165665,-2.508771,0
226,3347177960,0.416784,-0.504442,-0.356802,-0.666725,-2.880071,1.729200,-2.422075,0
227,3347194627,0.415815,-0.488084,-0.376523,-0.668657,-1.018595,-2.170338,-2.482898,0
228,3347211294,0.414781,-0.471408,-0.395791,-0.670135,1.663212,-2.287834,-0.527399,0
229,3347227961,0.411826,-0.455783,-0.410067,-0.674170,2.325343,-2.296000,0.591669,0
230,3347244628,0.406121,-0.442318,-0.417934,-0.681727,2.916738,-2.814818,0.610509,0
231,3347261295,0.398840,-0.430296,-0.421697,-0.691335,2.221334,-1.321121,-0.390505,0
232,3347277962,0.391632,-0.420186,-0.426441,-0.698724,0.123164,0.761024,-0.005229,0
233,3347294629,0.385086,-0.410552,-0.432988,-0.704044,-1.218069,0.544397,-0.021210,0
234,3347311296,0.379280,-0.400819,-0.440007,-0.708438,-0.293719,0.013912,0.344959,0
235,3347327963,0.373732,-0.391782,-0.446553,-0.712335,0.899473,-0.214710,0.437571,0
236,3347344630,0.368555,-0.383473,-0.453443,-0.715196,0.787975,0.965669,1.046599,0
237,3347361297,0.363900,-0.375369,-0.460092,-0.717628,0.355241,0.331879,1.201636,0
238,3347377964,0.360136,-0.366843,-0.463987,-0.721419,0.892960,-1.108606,1.920751,0
239,3347394631,0.356947,-0.358965,-0.463929,-0.726982,2.129965,-0.980596,1.969239,0
240,3347411298,0.354249,-0.352986,-0.463402,-0.731551,1.484034,0.271217,1.326065,0
241,3347427965,0.352269,-0.348272,-0.465218,-0.733611,0.403792,0.067157,0.919681,0
242,3347444632,0.350925,-0.344159,-0.468168,-0.734319,1.173986,-0.879552,1.669167,0
243,3347461299,0.350309,-0.341001,-0.469927,-0.734963,2.433379,-1.798914,2.547431,0
244,3347477966,0.350325,-0.339471,-0.469770,-0.735763,2.055974,-1.302977,2.308197,0
245,3347494633,0.350784,-0.340015,-0.469611,-0.735395,1.598882,-0.516977,2.200521,0
246,3347511300,0.352062,-0.341818,-0.469763,-0.733850,1.297019,-0.267116,2.373202,0
247,3347527967,0.354278,-0.344763,-0.469308,-0.731694,1.103193,-0.436908,2.733291,0
248,3347544634,0.357678,-0.348420,-0.467401,-0.729525,0.914328,-0.286500,2.840909,0
249,3347561301,0.361825,-0.353443,-0.464640,-0.726822,0.732114,0.217938,2.577942,0
250,3347577968,0.366447,-0.360302,-0.462262,-0.722643,0.564558,0.381546,2.447792,0
251,3347594635,0.371845,-0.368111,-0.459654,-0.717596,0.215620,0.297357,2.308736,0
252,3347611302,0.378342,-0.376756,-0.456396,-0.711769,0.072213,-0.099769,2.081753,0
253,3347627969,0.385724,-0.386975,-0.452197,-0.704972,-0.347920,-0.134045,1.907390,0
254,3347644636,0.393859,-0.398885,-0.446576,-0.697377,-1.159592,-0.453957,1.906394,0
255,3347661303,0.402404,-0.412586,-0.439569,-0.688929,-1.847885,-0.646972,1.757921,0
256,3347677970,0.411096,-0.427991,-0.431451,-0.679465,-2.100173,-0.793025,1.153815,0
257,3347694637,0.419936,-0.444720,-0.422275,-0.669001,-2.452084,-0.898309,0.714248,0
258,3347711304,0.428646,-0.462453,-0.411494,-0.658082,-2.253097,-1.366816,-0.270347,0
259,3347727971,0.436651,-0.481127,-0.398398,-0.647404,-1.983593,-1.392944,-1.161005,0
260,3347744638,0.444071,-0.499931,-0.383072,-0.637280,-1.606230,-1.233274,-2.072906,0
261,3347761305,0.450465,-0.518536,-0.365676,-0.628079,-1.181883,-0.549049,-2.653838,0
262,3347777972,0.455767,-0.536849,-0.347856,-0.618923,-0.985275,0.011115,-3.463772,0
263,3347794639,0.459903,-0.555075,-0.330349,-0.609304,-0.598009,0.415928,-4.039758,0
264,3347811306,0.463697,-0.572791,-0.313789,-0.598692,-0.439513,0.390604,-4.096129,0
265,3347827973,0.467813,-0.589521,-0.299461,-0.586464,0.003502,0.844228,-3.377821,0
266,3347844640,0.471634,-0.605320,-0.286813,-0.573487,0.651833,1.004483,-2.595480,0
267,3347861307,0.476872,-0.619012,-0.278473,-0.558453,0.609635,1.427829,-2.057825,0
