sep=,
DeviceTag:,Yao
FirmwareVersion:,2.0.0
AppVersion:,2021.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Quaternion)
StartTime: ,2021-08-20_20:21:13_835 GMT+8
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
63,3344461239,-0.680981,0.021523,-0.727043,0.084931,-0.010465,-0.007078,-0.010157,0
64,3344477906,-0.681079,0.021670,-0.726987,0.084582,0.004022,-0.012725,-0.028790,0
65,3344494573,-0.681161,0.021816,-0.726944,0.084246,-0.040993,-0.020107,-0.038014,0
66,3344511240,-0.681250,0.021938,-0.726891,0.083958,-0.007994,0.004815,-0.041793,0
67,3344527907,-0.681330,0.021987,-0.726837,0.083762,0.021807,-0.007403,-0.045469,0
68,3344544574,-0.681397,0.022060,-0.726791,0.083597,-0.013042,-0.013079,-0.032817,0
69,3344561241,-0.681464,0.022155,-0.726745,0.083420,0.007389,-0.018205,0.001783,0
70,3344577908,-0.681497,0.022247,-0.726729,0.083269,-0.009514,-0.008714,0.010658,0
71,3344594575,-0.681515,0.022332,-0.726727,0.083119,-0.006428,-0.012717,0.001321,0
72,3344611242,-0.681520,0.022408,-0.726734,0.083000,-0.007752,-0.004122,-0.025101,0
73,3344627909,-0.681537,0.022464,-0.726729,0.082889,-0.011765,-0.009784,-0.030698,0
74,3344644576,-0.681580,0.022491,-0.726692,0.082850,-0.014882,-0.013092,-0.013686,0
75,3344661243,-0.681616,0.022478,-0.726658,0.082853,0.002721,0.003926,-0.015780,0
76,3344677910,-0.681634,0.022428,-0.726638,0.082897,-0.031052,0.016439,-0.012074,0
77,3344694577,-0.681633,0.022356,-0.726633,0.082964,-0.026287,0.008575,-0.019297,0
78,3344711244,-0.681635,0.022267,-0.726622,0.083075,-0.020396,0.025350,-0.015321,0
79,3344727911,-0.681622,0.022133,-0.726618,0.083253,-0.011088,0.019437,-0.014349,0
80,3344744578,-0.681606,0.021995,-0.726615,0.083441,-0.041217,0.026199,-0.022964,0
81,3344761245,-0.681581,0.021827,-0.726620,0.083646,-0.034740,0.042027,-0.028827,0
82,3344777912,-0.681558,0.021619,-0.726620,0.083884,-0.035514,0.033734,-0.007440,0
83,3344794579,-0.681531,0.021404,-0.726623,0.084137,-0.029342,0.016189,-0.012248,0
84,3344811246,-0.681502,0.021140,-0.726623,0.084442,-0.014565,0.019138,-0.009267,0
85,3344827913,-0.681469,0.020832,-0.726621,0.084801,-0.021489,0.012904,-0.006922,0
86,3344844580,-0.681424,0.020473,-0.726625,0.085211,-0.032396,0.019469,-0.019556,0
87,3344861247,-0.681370,0.020091,-0.726635,0.085647,-0.035707,0.023942,-0.006160,0
88,3344877914,-0.681312,0.019727,-0.726651,0.086054,-0.028196,0.043431,-0.015857,0
89,3344894581,-0.681253,0.019348,-0.726671,0.086442,-0.041643,0.034695,-0.009858,0
90,3344911248,-0.681197,0.019009,-0.726693,0.086773,-0.050142,0.014428,-0.012155,0
91,3344927915,-0.681173,0.018709,-0.726689,0.087053,-0.029485,-0.005639,0.001760,0
92,3344944582,-0.681153,0.018469,-0.726688,0.087271,-0.017691,-0.013142,0.019446,0
93,3344961249,-0.681099,0.018241,-0.726723,0.087449,-0.011068,-0.028651,0.052202,0
94,3344977916,-0.681007,0.018050,-0.726797,0.087593,-0.028654,-0.018380,0.054961,0
95,3344994583,-0.680887,0.017952,-0.726903,0.087667,-0.020366,0.006070,0.011406,0
96,3345011250,-0.680794,0.017877,-0.726982,0.087746,-0.040406,-0.003291,-0.007918,0
97,3345027917,-0.680704,0.017860,-0.727068,0.087740,-0.064690,0.015660,0.022848,0
98,3345044584,-0.680654,0.017935,-0.727132,0.087581,-0.020178,-0.021692,0.014484,0
99,3345061251,-0.680575,0.018046,-0.727231,0.087340,0.024759,-0.009645,0.002477,0
100,3345077918,-0.680481,0.018164,-0.727349,0.087069,0.006277,0.016825,0.006004,0
101,3345094585,-0.680402,0.018337,-0.727443,0.086867,-0.012408,0.037357,-0.021593,0
102,3345111252,-0.680297,0.018530,-0.727562,0.086647,0.035995,0.017374,-0.007441,0
103,3345127919,-0.680168,0.018724,-0.727711,0.086371,-0.033461,-0.005298,0.027041,0
104,3345144586,-0.680028,0.019000,-0.727882,0.085971,-0.041600,-0.000151,-0.008504,0
105,3345161253,-0.679868,0.019212,-0.728069,0.085611,0.039711,-0.005175,0.002789,0
106,3345177920,-0.679710,0.019314,-0.728235,0.085425,-0.016149,0.039883,-0.040384,0
107,3345194587,-0.679598,0.019442,-0.728361,0.085211,-0.020143,0.020723,-0.048834,0
108,3345211254,-0.679497,0.019533,-0.728482,0.084965,-0.020799,-0.003669,-0.069189,0
109,3345227921,-0.679395,0.019564,-0.728600,0.084760,-0.002287,-0.012242,-0.040604,0
110,3345244588,-0.679320,0.019517,-0.728686,0.084632,-0.003011,0.006538,-0.026049,0
111,3345261255,-0.679279,0.019461,-0.728740,0.084509,-0.022199,0.015606,-0.029807,0
112,3345277922,-0.679250,0.019376,-0.728783,0.084388,0.010058,-0.008860,-0.034004,0
113,3345294589,-0.679215,0.019288,-0.728833,0.084257,-0.004908,-0.020669,-0.027683,0
114,3345311256,-0.679147,0.019229,-0.728912,0.084138,-0.026085,-0.031471,0.008449,0
115,3345327923,-0.679016,0.019206,-0.729053,0.083976,-0.023934,-0.048645,0.031983,0
116,3345344590,-0.678809,0.019212,-0.729260,0.083852,-0.093229,-0.075301,0.090720,0
117,3345361257,-0.678448,0.019252,-0.729619,0.083638,-0.128507,-0.125438,0.125430,0
118,3345377924,-0.677860,0.019364,-0.730198,0.083337,-0.162125,-0.149943,0.197370,0
119,3345394591,-0.676979,0.019486,-0.731045,0.083041,-0.207042,-0.133095,0.310403,0
120,3345411258,-0.675839,0.019483,-0.732123,0.082827,-0.266099,-0.058011,0.396953,0
121,3345427925,-0.674415,0.019327,-0.733450,0.082726,-0.355843,0.022748,0.469786,0
122,3345444592,-0.672725,0.019095,-0.735012,0.082680,-0.386373,0.033029,0.426418,0
123,3345461259,-0.670668,0.018618,-0.736887,0.082814,-0.448672,0.039645,0.456007,0
124,3345477926,-0.668174,0.017945,-0.739128,0.083145,-0.584156,-0.000785,0.489491,0
125,3345494593,-0.665198,0.017158,-0.741779,0.083565,-0.684703,-0.038100,0.489599,0
126,3345511260,-0.662129,0.016316,-0.744472,0.084159,-0.691757,-0.028817,0.288297,0
127,3345527927,-0.658935,0.015328,-0.747269,0.084624,-0.802334,-0.064028,0.269678,0
128,3345544594,-0.655396,0.014521,-0.750397,0.084567,-0.856766,-0.188664,0.185600,0
129,3345561261,-0.651553,0.013848,-0.753783,0.084264,-0.852078,-0.083524,0.054289,0
130,3345577928,-0.647024,0.013280,-0.757801,0.083210,-0.797649,0.073611,0.135135,0
131,3345594595,-0.641764,0.012902,-0.762441,0.081599,-0.890313,-0.226489,0.163474,0
132,3345611262,-0.635474,0.012790,-0.767983,0.078820,-0.975633,-0.134715,-0.019812,0
133,3345627929,-0.628403,0.013137,-0.774184,0.074689,-1.074053,-0.376842,0.151835,0
134,3345644596,-0.620247,0.014122,-0.781232,0.069082,-1.290498,-0.437172,0.297626,0
135,3345661263,-0.611453,0.015915,-0.788672,0.062209,-1.074706,-0.423132,-0.453300,0
136,3345677930,-0.602352,0.018701,-0.796147,0.054533,-1.268696,-0.565395,-1.178896,0
137,3345694597,-0.593166,0.022492,-0.803393,0.047021,-0.864725,-0.473032,-2.139283,0
138,3345711264,-0.583550,0.027090,-0.810585,0.041093,-0.417146,-0.001655,-2.870996,0
139,3345727931,-0.573230,0.031243,-0.817937,0.037578,-0.040289,1.110433,-3.333523,0
140,3345744598,-0.562108,0.034567,-0.825585,0.035376,-0.343955,1.382041,-3.191195,0
141,3345761265,-0.549936,0.036639,-0.833760,0.032784,-0.040407,0.808524,-3.057967,0
142,3345777932,-0.536954,0.038040,-0.842220,0.030029,-0.431085,-0.241511,-3.303379,0
143,3345794599,-0.523625,0.039193,-0.850620,0.026993,-0.538507,-0.809333,-3.388897,0
144,3345811266,-0.509983,0.040222,-0.858930,0.023252,-0.486457,-0.888990,-3.424344,0
145,3345827933,-0.496123,0.041493,-0.867044,0.019408,-0.467771,-0.483599,-3.665912,0
146,3345844600,-0.482638,0.043336,-0.874617,0.015188,0.237736,-0.104712,-3.339254,0
147,3345861267,-0.469656,0.044694,-0.881646,0.011332,0.827242,-0.028667,-2.980845,0
148,3345877934,-0.457173,0.045771,-0.888171,0.007248,0.801871,-0.065882,-3.047112,0
149,3345894601,-0.445151,0.046614,-0.894237,0.003101,1.011581,-0.023865,-2.705042,0
150,3345911268,-0.433519,0.047101,-0.899913,-0.001355,0.927261,-0.214546,-2.266347,0
151,3345927935,-0.422616,0.047541,-0.905045,-0.005705,0.903615,-0.004577,-1.578606,0
152,3345944602,-0.413109,0.047798,-0.909386,-0.008695,1.060971,0.171672,-0.723464,0
153,3345961269,-0.404466,0.047666,-0.913256,-0.010017,1.306530,0.284809,0.055712,0
154,3345977936,-0.396287,0.047444,-0.916844,-0.010270,1.282121,0.643692,1.080709,0
155,3345994603,-0.388822,0.047092,-0.920058,-0.009737,1.424607,0.290249,1.458039,0
156,3346011270,-0.382132,0.046086,-0.922906,-0.009908,1.274053,-0.219248,2.158087,0
157,3346027937,-0.375993,0.045015,-0.925459,-0.011450,1.187980,-0.711909,2.829689,0
158,3346044604,-0.370971,0.044249,-0.927492,-0.013551,1.358337,-0.510673,3.489459,0
159,3346061271,-0.366970,0.043827,-0.929075,-0.015301,1.003425,-0.060390,3.944055,0
160,3346077938,-0.363889,0.043266,-0.930295,-0.016295,1.220283,0.563287,4.791368,0
161,3346094605,-0.362207,0.042560,-0.930980,-0.016538,1.054911,0.502926,5.233604,0
162,3346111272,-0.361668,0.041985,-0.931208,-0.016969,1.239861,0.126954,5.388802,0
163,3346127939,-0.362286,0.041452,-0.930982,-0.017493,1.349196,0.224645,6.065895,0
164,3346144606,-0.363949,0.041122,-0.930333,-0.018238,1.364784,0.239978,6.350317,0
165,3346161273,-0.366437,0.041154,-0.929342,-0.018839,1.373922,0.328897,6.301846,0
166,3346177940,-0.369584,0.041306,-0.928083,-0.019126,1.377434,0.386271,6.308693,0
167,3346194607,-0.373491,0.041725,-0.926500,-0.019060,1.223391,0.238096,6.138783,0
168,3346211274,-0.378054,0.042363,-0.924619,-0.019018,1.241552,0.165622,6.002375,0
169,3346227941,-0.383667,0.043186,-0.922267,-0.018959,1.233593,0.054906,5.416286,0
170,3346244608,-0.390214,0.044007,-0.919475,-0.019079,1.241211,0.067388,4.671887,0
171,3346261275,-0.397876,0.044695,-0.916157,-0.018851,1.314702,0.149416,4.000168,0
172,3346277942,-0.406670,0.045362,-0.912269,-0.018152,1.357927,0.133242,2.976928,0
173,3346294609,-0.416396,0.045990,-0.907864,-0.016883,1.509122,0.187972,2.088458,0
174,3346311276,-0.426242,0.046745,-0.903266,-0.015696,1.528356,0.081231,1.113200,0
175,3346327943,-0.436369,0.047719,-0.898381,-0.014786,1.430640,0.047620,0.079843,0
176,3346344610,-0.446496,0.049218,-0.893321,-0.014079,1.339871,0.030668,-0.831841,0
177,3346361277,-0.457137,0.051193,-0.887824,-0.013248,1.180845,-0.140740,-2.118649,0
178,3346377944,-0.468289,0.053166,-0.881889,-0.012349,0.657107,0.091871,-3.103077,0
179,3346394611,-0.480018,0.055145,-0.875449,-0.011528,0.675866,0.101663,-3.784210,0
180,3346411278,-0.492419,0.057328,-0.868402,-0.010863,0.499080,0.289916,-4.310518,0
181,3346427945,-0.505016,0.059579,-0.860985,-0.010784,0.340768,0.478839,-4.769065,0
182,3346444612,-0.517472,0.061824,-0.853399,-0.010646,0.083067,0.525796,-5.053108,0
183,3346461279,-0.529838,0.063940,-0.845622,-0.010449,-0.031816,0.417440,-5.238995,0
184,3346477946,-0.541965,0.065843,-0.837759,-0.010045,-0.401141,0.333324,-5.306928,0
185,3346494613,-0.553702,0.067576,-0.829916,-0.009487,-0.496385,0.354389,-5.179090,0
186,3346511280,-0.564662,0.069057,-0.822384,-0.008620,-0.700761,0.340302,-4.570131,0
187,3346527947,-0.574890,0.070220,-0.815183,-0.007068,-0.868528,0.409688,-4.122457,0
188,3346544614,-0.584297,0.070902,-0.808423,-0.004957,-1.195463,0.457747,-3.465491,0
189,3346561281,-0.592719,0.071452,-0.802229,-0.003059,-1.412813,0.319867,-2.343940,0
190,3346577948,-0.600588,0.071783,-0.796331,-0.001185,-1.455358,0.191704,-1.639954,0
191,3346594615,-0.607872,0.071976,-0.790768,0.000794,-1.408772,0.135420,-0.651067,0
192,3346611282,-0.614451,0.072067,-0.785653,0.002967,-1.291056,0.270716,0.229692,0
193,3346627949,-0.620632,0.071829,-0.780789,0.005232,-1.005184,0.026990,0.628044,0
194,3346644616,-0.626286,0.071182,-0.776305,0.007280,-1.105608,0.400836,0.973476,0
195,3346661283,-0.631683,0.070179,-0.771986,0.009606,-0.958391,0.441695,0.855103,0
196,3346677950,-0.636303,0.068778,-0.768282,0.011528,-0.786266,0.247812,1.109348,0
197,3346694617,-0.640183,0.067189,-0.765161,0.013539,-1.040911,0.177757,0.707774,0
198,3346711284,-0.643306,0.065789,-0.762619,0.015606,-1.148231,0.008336,0.546904,0
199,3346727951,-0.645749,0.064510,-0.760617,0.017649,-1.215337,-0.163076,0.335825,0
200,3346744618,-0.647445,0.063425,-0.759223,0.019394,-1.385207,-0.147106,0.260326,0
201,3346761285,-0.648701,0.062327,-0.758199,0.020968,-1.270114,0.057801,0.347479,0
202,3346777952,-0.649556,0.061183,-0.757515,0.022531,-1.179420,0.233613,0.221127,0
203,3346794619,-0.650075,0.060038,-0.757114,0.024043,-1.089505,0.193587,0.025277,0
204,3346811286,-0.650352,0.058710,-0.756927,0.025671,-1.094935,0.228480,-0.012453,0
205,3346827953,-0.650394,0.057271,-0.756947,0.027228,-1.018821,0.252693,0.125370,0
206,3346844620,-0.650030,0.055649,-0.757332,0.028539,-0.959365,0.278457,0.266765,0
207,3346861287,-0.649128,0.053934,-0.758192,0.029510,-0.938158,0.222051,0.406230,0
208,3346877954,-0.647347,0.052477,-0.759800,0.029899,-0.942841,0.270142,0.589435,0
209,3346894621,-0.645214,0.050651,-0.761714,0.030464,-0.984942,0.135258,0.510000,0
210,3346911288,-0.642190,0.048946,-0.764371,0.030592,-1.079167,-0.006625,0.633367,0
211,3346927955,-0.638357,0.047171,-0.767688,0.030527,-1.158600,-0.120465,0.597800,0
212,3346944622,-0.633457,0.045344,-0.771861,0.030132,-1.232169,-0.135490,0.643748,0
213,3346961289,-0.627495,0.043366,-0.776830,0.030122,-1.355288,-0.165650,0.550638,0
214,3346977956,-0.619811,0.041076,-0.783091,0.030297,-1.331873,-0.200427,0.372881,0
215,3346994623,-0.610153,0.038878,-0.790742,0.030523,-1.211743,-0.319127,-0.010913,0
216,3347011290,-0.598818,0.036824,-0.799454,0.030608,-1.152423,-0.587503,-1.094207,0
217,3347027957,-0.586092,0.034999,-0.808932,0.030047,-0.812459,-0.789938,-2.276275,0
