sep=,
DeviceTag:,ydt
FirmwareVersion:,2.0.0
AppVersion:,2021.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Quaternion)
StartTime: ,2021-08-20_20:21:13_839 GMT+8
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
66,3344527907,0.453405,-0.518509,0.441667,0.574887,0.057055,0.061148,0.044901,0
67,3344544574,0.453406,-0.518509,0.441681,0.574876,0.018770,0.056686,0.083851,0
68,3344561241,0.453429,-0.518477,0.441685,0.574883,-0.011873,0.025992,0.117848,0
69,3344577908,0.453409,-0.518495,0.441708,0.574866,0.017172,0.016490,0.088917,0
70,3344594575,0.453369,-0.518534,0.441677,0.574886,0.019129,0.032629,0.051333,0
71,3344611242,0.453332,-0.518580,0.441595,0.574936,0.062888,0.049062,0.055461,0
72,3344627909,0.453343,-0.518573,0.441560,0.574960,-0.021984,0.005189,0.085310,0
73,3344644576,0.453299,-0.518616,0.441526,0.574984,-0.021439,0.000151,0.106992,0
74,3344661243,0.453251,-0.518678,0.441492,0.574992,-0.023670,0.018683,0.060692,0
75,3344677910,0.453311,-0.518634,0.441494,0.574982,-0.004315,0.033572,0.072133,0
76,3344694577,0.453398,-0.518591,0.441510,0.574939,-0.039283,-0.044502,0.096225,0
77,3344711244,0.453426,-0.518613,0.441538,0.574877,-0.016234,-0.002294,0.085180,0
78,3344727911,0.453479,-0.518630,0.441574,0.574792,0.001115,0.046290,0.057837,0
79,3344744578,0.453597,-0.518606,0.441619,0.574686,-0.010795,0.038869,0.073337,0
80,3344761245,0.453736,-0.518573,0.441659,0.574574,-0.042687,0.007818,0.074952,0
81,3344777912,0.453989,-0.518440,0.441744,0.574430,-0.030993,0.049516,0.090148,0
82,3344794579,0.454231,-0.518322,0.441834,0.574275,0.006706,0.009502,0.106931,0
83,3344811246,0.454391,-0.518307,0.441866,0.574137,0.024341,0.103337,0.063532,0
84,3344827913,0.454613,-0.518249,0.441886,0.573999,0.022679,0.093165,0.063094,0
85,3344844580,0.454841,-0.518245,0.441985,0.573746,0.011766,0.015491,0.094776,0
86,3344861247,0.455084,-0.518265,0.442067,0.573472,0.059412,0.043952,0.080135,0
87,3344877914,0.455346,-0.518289,0.442145,0.573182,0.060130,0.075140,0.076892,0
88,3344894581,0.455681,-0.518299,0.442255,0.572822,0.070331,0.086195,0.078691,0
89,3344911248,0.456043,-0.518297,0.442407,0.572418,0.060778,0.044924,0.097184,0
90,3344927915,0.456448,-0.518273,0.442621,0.571952,-0.005413,0.088595,0.085415,0
91,3344944582,0.456851,-0.518241,0.442803,0.571517,-0.037819,0.074816,0.097313,0
92,3344961249,0.457229,-0.518209,0.442880,0.571184,-0.030647,0.029811,0.095584,0
93,3344977916,0.457534,-0.518215,0.442957,0.570875,-0.023812,0.025718,0.074947,0
94,3344994583,0.457728,-0.518281,0.442961,0.570657,-0.013253,0.014881,0.061534,0
95,3345011250,0.457799,-0.518439,0.442912,0.570494,-0.070357,-0.014688,0.059347,0
96,3345027917,0.457819,-0.518621,0.442848,0.570362,-0.064730,-0.017616,0.048865,0
97,3345044584,0.457806,-0.518779,0.442745,0.570309,-0.081016,-0.080690,0.055686,0
98,3345061251,0.457664,-0.519006,0.442468,0.570431,-0.024437,-0.129137,0.074413,0
99,3345077918,0.457654,-0.519081,0.442332,0.570476,-0.033698,0.041663,0.073820,0
100,3345094585,0.457768,-0.519032,0.442344,0.570421,-0.133588,0.081667,0.096459,0
101,3345111252,0.457701,-0.519120,0.442198,0.570507,-0.072329,-0.061948,0.049233,0
102,3345127919,0.457608,-0.519228,0.442026,0.570616,-0.000935,-0.028553,0.052879,0
103,3345144586,0.457567,-0.519302,0.441929,0.570657,0.006094,0.028134,0.103951,0
104,3345161253,0.457466,-0.519417,0.441774,0.570754,0.015548,0.024448,0.086618,0
105,3345177920,0.457335,-0.519584,0.441611,0.570833,-0.001367,0.069856,0.088844,0
106,3345194587,0.457309,-0.519645,0.441528,0.570863,-0.002836,0.037542,0.072100,0
107,3345211254,0.457424,-0.519595,0.441517,0.570825,0.007996,0.026145,0.063789,0
108,3345227921,0.457629,-0.519512,0.441532,0.570724,0.024956,0.015405,0.083858,0
109,3345244588,0.457792,-0.519497,0.441559,0.570586,0.020741,0.063422,0.095819,0
110,3345261255,0.458010,-0.519400,0.441597,0.570469,0.054999,0.070834,0.077486,0
111,3345277922,0.458228,-0.519340,0.441538,0.570396,0.078757,0.062373,0.070525,0
112,3345294589,0.458441,-0.519303,0.441491,0.570294,0.089903,0.049810,0.088651,0
113,3345311256,0.458663,-0.519311,0.441430,0.570155,0.077986,0.004294,0.091270,0
114,3345327923,0.458930,-0.519316,0.441396,0.569962,0.084927,0.049281,0.095470,0
115,3345344590,0.459186,-0.519372,0.441353,0.569738,0.069281,0.039190,0.094438,0
116,3345361257,0.459437,-0.519487,0.441239,0.569519,0.100390,0.060442,0.073354,0
117,3345377924,0.459718,-0.519695,0.441026,0.569268,0.110758,0.054818,0.051922,0
118,3345394591,0.460217,-0.519872,0.440719,0.568941,0.085247,0.100460,0.080936,0
119,3345411258,0.460933,-0.520071,0.440348,0.568466,0.025582,0.125788,0.096702,0
120,3345427925,0.461974,-0.520254,0.439813,0.567868,-0.014959,0.228253,0.050193,0
121,3345444592,0.463395,-0.520432,0.439116,0.567086,-0.032538,0.294736,0.052814,0
122,3345461259,0.465235,-0.520668,0.438152,0.566107,-0.027631,0.300081,0.041323,0
123,3345477926,0.467499,-0.520955,0.437132,0.564765,-0.075682,0.307579,0.071680,0
124,3345494593,0.469821,-0.521671,0.435941,0.563096,-0.062201,0.180447,-0.052814,0
125,3345511260,0.472495,-0.522594,0.434409,0.561183,-0.100613,0.056834,-0.048185,0
126,3345527927,0.475235,-0.523903,0.432604,0.559039,-0.144246,-0.167198,-0.123349,0
127,3345544594,0.477945,-0.525624,0.430549,0.556695,-0.199551,-0.237370,-0.209970,0
128,3345561261,0.480671,-0.527748,0.428086,0.554232,-0.142905,-0.302023,-0.298331,0
129,3345577928,0.483188,-0.530264,0.424924,0.552071,-0.078780,-0.351208,-0.216185,0
130,3345594595,0.485789,-0.533058,0.421404,0.549791,-0.247808,-0.237373,-0.160439,0
131,3345611262,0.488441,-0.535828,0.417451,0.547760,-0.344052,-0.101716,-0.148545,0
132,3345627929,0.491386,-0.538807,0.412480,0.545967,-0.353723,-0.504383,-0.490890,0
133,3345644596,0.493839,-0.542738,0.406632,0.544244,-0.625964,-0.383274,-0.356939,0
134,3345661263,0.496676,-0.546867,0.400255,0.542253,0.034218,0.116513,-0.309757,0
135,3345677930,0.500557,-0.550489,0.393149,0.540214,-0.012895,-0.419932,-0.045714,0
136,3345694597,0.503413,-0.556221,0.384326,0.538034,0.023355,-0.733941,0.108516,0
137,3345711264,0.506081,-0.562886,0.375395,0.534895,0.499613,-1.299379,-0.118378,0
138,3345727931,0.507889,-0.571327,0.365469,0.531093,0.697514,-1.589642,-0.081545,0
139,3345744598,0.510103,-0.579346,0.355563,0.526993,1.328651,-1.772034,-0.603320,0
140,3345761265,0.511335,-0.588861,0.343863,0.523002,1.683938,-1.288550,-1.098547,0
141,3345777932,0.512643,-0.596925,0.335508,0.517982,-0.844038,-0.257918,1.239236,0
142,3345794599,0.513188,-0.604782,0.331282,0.511001,-1.111971,-1.343474,-0.082494,0
143,3345811266,0.513030,-0.613581,0.325714,0.504205,0.444398,-0.671192,-1.533094,0
144,3345827933,0.516161,-0.620680,0.320452,0.495619,0.097880,-0.377326,-1.353683,0
145,3345844600,0.521473,-0.627152,0.316268,0.484473,-1.604499,-0.419857,-1.553834,0
146,3345861267,0.527857,-0.632669,0.313649,0.471926,-1.712352,0.380600,-1.268088,0
147,3345877934,0.537058,-0.635582,0.311597,0.458808,-0.600069,-0.453392,-0.907815,0
148,3345894601,0.546774,-0.638232,0.307372,0.446334,0.159535,0.354141,-3.024428,0
149,3345911268,0.554786,-0.642274,0.301388,0.434575,1.073090,1.920291,-1.724700,0
150,3345927935,0.563982,-0.644251,0.296910,0.422732,1.180679,1.516034,-1.217999,0
151,3345944602,0.572753,-0.645018,0.292795,0.412516,0.537378,0.618689,-0.187030,0
152,3345961269,0.578326,-0.647678,0.288141,0.403757,0.586925,0.350560,0.770947,0
153,3345977936,0.581179,-0.652110,0.283784,0.395529,0.381353,0.222373,2.397833,0
154,3345994603,0.583040,-0.657182,0.279269,0.387528,-0.392181,0.450995,1.283939,0
155,3346011270,0.586131,-0.660770,0.274947,0.379778,-0.252582,0.606881,-0.081091,0
156,3346027937,0.591295,-0.661958,0.270932,0.372521,-0.045035,0.990788,-0.627349,0
157,3346044604,0.597655,-0.661648,0.266770,0.365866,0.357070,1.631290,0.583323,0
158,3346061271,0.602669,-0.661799,0.262488,0.360424,0.495098,1.579566,2.577296,0
159,3346077938,0.604990,-0.663554,0.258307,0.356307,0.750121,1.777623,3.168005,0
160,3346094605,0.605546,-0.665840,0.254427,0.353881,-0.020302,1.363526,2.813725,0
161,3346111272,0.605713,-0.667482,0.250958,0.352978,-0.374522,1.155203,1.814208,0
162,3346127939,0.607153,-0.666920,0.248528,0.353284,-0.293893,0.646501,1.380545,0
163,3346144606,0.609197,-0.664827,0.247468,0.354453,0.033260,0.671736,2.544606,0
164,3346161273,0.609888,-0.662859,0.247402,0.356988,0.104187,0.484686,3.516453,0
165,3346177940,0.608867,-0.661318,0.248290,0.360951,-0.427819,0.243180,3.429435,0
166,3346194607,0.606584,-0.659693,0.250318,0.366326,-0.711902,0.378320,2.908705,0
167,3346211274,0.604422,-0.656689,0.253383,0.373127,-0.621314,0.309568,2.438698,0
168,3346227941,0.601814,-0.653051,0.257774,0.380644,-0.582559,0.176822,2.332808,0
169,3346244608,0.598621,-0.648984,0.263234,0.388812,-0.416680,-0.098677,2.269227,0
170,3346261275,0.594923,-0.644436,0.269599,0.397590,-0.279461,-0.056014,2.199463,0
